"","X","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"2756",2795,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2757",2796,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2758",2797,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2759",2798,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2760",2799,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2761",2800,"Rural","No","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2762",2801,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2763",2802,"Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2764",2803,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2765",2804,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2766",2805,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"2767",2806,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2768",2807,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2769",2808,"Rural","No","Pond.lake","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"2770",2809,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2771",2810,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2772",2811,"Rural","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2773",2812,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2774",2813,"Rural","Yes","Public well","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2775",2814,"Rural","No","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2776",2815,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2777",2816,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2778",2817,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2779",2818,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2780",2819,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2781",2820,"Rural","No","Spring","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2782",2821,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2783",2822,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2784",2823,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2785",2824,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2786",2825,"Rural","Yes","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","5-6"
"2787",2826,"Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","1-2"
"2788",2827,"Rural","No","Spring","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2789",2828,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2790",2829,"Rural","No","Public well","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2791",2830,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2792",2831,"Rural","No","Spring","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2793",2832,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2794",2833,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","7+"
"2795",2834,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2796",2835,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2797",2836,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2798",2837,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","7+"
"2799",2838,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","5-6"
"2800",2839,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2801",2840,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2802",2841,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2803",2842,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2804",2843,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2805",2844,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2806",2845,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","7+"
"2807",2846,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2808",2848,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2809",2849,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2810",2850,"Rural","Yes","Public well","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2811",2851,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2812",2852,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2813",2853,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2814",2854,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2815",2855,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"2816",2856,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2817",2857,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2818",2858,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2819",2859,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2820",2860,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2821",2861,"Rural","No","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2822",2862,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2823",2863,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2824",2864,"Rural","No","River.stream","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2825",2865,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","5-6"
"2826",2866,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2827",2867,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2828",2869,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2829",2870,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2830",2871,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2831",2872,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2832",2873,"Rural","No","Spring","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2833",2874,"Rural","Yes","Rain water","More than 15 minutes","No facility bush","Earth sand","5-6"
"2834",2875,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2835",2876,"Rural","No","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2836",2877,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"2837",2878,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2838",2879,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2839",2880,"Rural","Yes","River.stream","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"2840",2881,"Rural","Yes","Rain water","More than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2841",2882,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","5-6"
"2842",2883,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2843",2884,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2844",2885,"Rural","Yes","Spring","More than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2845",2886,"Rural","No","Public tap","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2846",2887,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2847",2888,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2848",2889,"Rural","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2849",2890,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2850",2891,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2851",2892,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2852",2893,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2853",2894,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2854",2895,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2855",2896,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2856",2897,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2857",2898,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2858",2899,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2859",2900,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"2860",2901,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2861",2902,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2862",2903,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2863",2904,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","5-6"
"2864",2905,"Rural","No","Well in residence","More than 15 minutes","No facility bush","Earth sand","1-2"
"2865",2906,"Rural","No","Well in residence","More than 15 minutes","No facility bush","Earth sand","3-4"
"2866",2907,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2867",2908,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2868",2909,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2869",2910,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2870",2911,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2871",2912,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2872",2913,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2873",2914,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2874",2915,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2875",2916,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2876",2917,"Rural","No","River.stream","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2877",2918,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2878",2919,"Rural","Yes","Spring","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2879",2920,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2880",2921,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2881",2922,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2882",2924,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2883",2925,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","7+"
"2884",2926,"Rural","No","Piped into residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2885",2927,"Rural","Yes","Pond.lake","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2886",2928,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2887",2929,"Rural","Yes","Well in residence","More than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2888",2930,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2889",2931,"Rural","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2890",2932,"Rural","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2891",2933,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2892",2934,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2893",2935,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2894",2936,"Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2895",2937,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2896",2938,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2897",2939,"Rural","Yes","Public well","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2898",2940,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2899",2941,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2900",2942,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"2901",2943,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2902",2944,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"2903",2945,"Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2904",2946,"Rural","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Earth sand","5-6"
"2905",2947,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2906",2948,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"2907",2949,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"2908",2950,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"2909",2951,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2910",2952,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2911",2953,"Rural","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2912",2954,"Rural","No","Well in residence","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2913",2955,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"2914",2956,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2915",2957,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2916",2958,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2917",2959,"Rural","No","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2918",2960,"Rural","Yes","Spring","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"2919",2961,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2920",2962,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","1-2"
"2921",2963,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2922",2965,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2923",2966,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2924",2967,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2925",2968,"Rural","No","Spring","Less than 15 minutes","No facility bush","Finished floor","7+"
"2926",2969,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2927",2970,"Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2928",2971,"Rural","No","Public well","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2929",2972,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2930",2973,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2931",2974,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2932",2976,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2933",2977,"Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"2934",2978,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2935",2979,"Rural","Yes","Rain water","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"2936",2980,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2937",2981,"Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"2938",2982,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2939",2983,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2940",2984,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2941",2985,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2942",2986,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2943",2987,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2944",2988,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2945",2989,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2946",2990,"Rural","Yes","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2947",2991,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2948",2992,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2949",2993,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2950",2994,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2951",2995,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2952",2996,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2953",2997,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2954",2998,"Rural","No","Public well","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2955",2999,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2956",3000,"Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"2957",3001,"Rural","No","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2958",3002,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2959",3003,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"2960",3004,"Rural","Yes","Tanker truck","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2961",3005,"Rural","No","Public well","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","7+"
"2962",3006,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"2963",3007,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2964",3008,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2965",3009,"Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"2966",3010,"Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2967",3011,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2968",3012,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2969",3013,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2970",3014,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2971",3015,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2972",3016,"Rural","No","Rain water","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2973",3017,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"2974",3018,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","7+"
"2975",3019,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"2976",3020,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2977",3021,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2978",3022,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"2979",3023,"Rural","No","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2980",3024,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2981",3025,"Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"2982",3026,"Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","5-6"
"2983",3027,"Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2984",3028,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2985",3029,"Rural","Yes","Public well","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"2986",3030,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"2987",3031,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2988",3032,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"2989",3033,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"2990",3034,"Rural","Yes","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"2991",3035,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2992",3036,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"2993",3037,"Rural","Yes","Well in residence","More than 15 minutes","Own flush toilet","Finished floor","3-4"
"2994",3038,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"2995",3039,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"2996",3040,"Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","5-6"
"2997",3041,"Rural","Yes","Well in residence","More than 15 minutes","No facility bush","Earth sand","1-2"
"2998",3042,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"2999",3043,"Rural","Yes","Public well","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"3000",3044,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"3001",3045,"Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"3002",3046,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"3003",3048,"Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"3004",3049,"Rural","No","Rain water","Less than 15 minutes","No facility bush","Finished floor","7+"
"3005",3050,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"3006",3051,"Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"3007",3052,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"3008",3053,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"3009",3054,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"3010",3055,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","5-6"
"3011",3056,"Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"3012",3057,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"3013",3058,"Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"3014",3059,"Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"3015",3060,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"3016",3061,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"3017",3062,"Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"3018",3063,"Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"3019",3064,"Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"3020",3065,"Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","7+"
"3021",3066,"Rural","No","Spring","Less than 15 minutes","No facility bush","Finished floor","3-4"
"3022",3067,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"3023",3068,"Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"3024",3069,"Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"3025",3070,"Rural","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
