"","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"4246","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4247","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","Dont know/missing"
"4248","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4249","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4250","Rural","Yes","Rain water","More than 15 minutes","No facility bush","Earth sand","7+"
"4251","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4252","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4253","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4254","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4255","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4256","Rural","No","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4257","Rural","Yes","Pond.lake","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"4258","Rural","Yes","Rain water","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4259","Rural","Yes","Rain water","Less than 15 minutes","Own flush toilet","Earth sand","7+"
"4260","Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4261","Rural","Yes","Public well","More than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","3-4"
"4262","Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"4263","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4264","Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4265","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4266","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4267","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4268","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4269","Rural","No","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4270","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4271","Rural","Yes","Pond.lake","More than 15 minutes","No facility bush","Earth sand","1-2"
"4272","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4273","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4274","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4275","Rural","Yes","River.stream","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"4276","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4277","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4278","Rural","No","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4279","Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4280","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4281","Rural","No","Public well","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"4282","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4283","Rural","No","Pond.lake","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4284","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4285","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4286","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4287","Rural","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"4288","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"4289","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4290","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4291","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","7+"
"4292","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4293","Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4294","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4295","Rural","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"4296","Rural","Yes","Rain water","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"4297","Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4298","Rural","Yes","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"4299","Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","Dont know/missing"
"4300","Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4301","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"4302","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4303","Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4304","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"4305","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4306","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4307","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4308","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4309","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4310","Rural","Yes","Well in residence","More than 15 minutes","No facility bush","Finished floor","1-2"
"4311","Rural","Yes","Well in residence","More than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"4312","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Rough wood/bamboo","5-6"
"4313","Rural","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4314","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4315","Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"4316","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4317","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4318","Rural","Yes","Spring","More than 15 minutes","Own flush toilet","Finished floor","1-2"
"4319","Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4320","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4321","Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4322","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4323","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4324","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4325","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4326","Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"4327","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4328","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"4329","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4330","Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"4331","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4332","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4333","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4334","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4335","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4336","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"4337","Rural","No","Well in residence","More than 15 minutes","No facility bush","Finished floor","1-2"
"4338","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4339","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4340","Rural","Yes","Public well","More than 15 minutes","No facility bush","Earth sand","3-4"
"4341","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4342","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4343","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"4344","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4345","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4346","Rural","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"4347","Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4348","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"4349","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4350","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4351","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"4352","Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4353","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4354","Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4355","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4356","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4357","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4358","Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4359","Rural","Yes","Pond.lake","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4360","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4361","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","7+"
"4362","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"4363","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","5-6"
"4364","Rural","Yes","Piped into residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4365","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4366","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4367","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4368","Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","Dont know/missing"
"4369","Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"4370","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4371","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4372","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4373","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4374","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4375","Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"4376","Rural","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","5-6"
"4377","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"4378","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4379","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4380","Rural","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"4381","Rural","Yes","Pond.lake","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4382","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4383","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4384","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4385","Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4386","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","7+"
"4387","Rural","No","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"4388","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4389","Rural","Yes","Well in residence","More than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"4390","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4391","Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4392","Rural","No","River.stream","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4393","Rural","Yes","Spring","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4394","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4395","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4396","Rural","Yes","River.stream","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"4397","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4398","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"4399","Rural","No","Well in residence","More than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4400","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4401","Rural","No","Public tap","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4402","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Earth sand","Dont know/missing"
"4403","Rural","Yes","Spring","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4404","Rural","No","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"4405","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4406","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4407","Rural","No","Public well","Less than 15 minutes","No facility bush","Earth sand","7+"
"4408","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4409","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4410","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4411","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4412","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4413","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4414","Rural","No","Public well","More than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4415","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4416","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"4417","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4418","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4419","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4420","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4421","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4422","Rural","No","Rain water","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4423","Rural","Yes","Spring","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4424","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4425","Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","Dont know/missing"
"4426","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4427","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4428","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4429","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4430","Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4431","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"4432","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","5-6"
"4433","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4434","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4435","Rural","Yes","Well in residence","More than 15 minutes","Vent. imp. pit toilet","Earth sand","3-4"
"4436","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4437","Rural","No","Public well","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4438","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4439","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4440","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4441","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4442","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","Dont know/missing"
"4443","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4444","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4445","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4446","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","7+"
"4447","Rural","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4448","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4449","Rural","Yes","Public well","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4450","Rural","No","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4451","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4452","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","5-6"
"4453","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4454","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4455","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4456","Rural","No","Well in residence","More than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4457","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4458","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4459","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4460","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4461","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4462","Rural","No","Spring","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4463","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4464","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4465","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","7+"
"4466","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4467","Rural","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","5-6"
"4468","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4469","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4470","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4471","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4472","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4473","Rural","Yes","Well in residence","More than 15 minutes","Shared flush toilet","Finished floor","Dont know/missing"
"4474","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"4475","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4476","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4477","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4478","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4479","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"4480","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4481","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4482","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4483","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4484","Rural","No","River.stream","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4485","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4486","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4487","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4488","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4489","Rural","Yes","River.stream","Less than 15 minutes","No facility bush","Rough wood/bamboo","1-2"
"4490","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4491","Rural","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"4492","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","5-6"
"4493","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4494","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4495","Rural","Yes","Spring","Less than 15 minutes","Own flush toilet","Earth sand","5-6"
"4496","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4497","Rural","Yes","Spring","Less than 15 minutes","No facility bush","Finished floor","3-4"
"4498","Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4499","Rural","No","Rain water","More than 15 minutes","Own flush toilet","Earth sand","1-2"
"4500","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4501","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","1-2"
"4502","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4503","Rural","No","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"4504","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"4505","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4506","Rural","Yes","Public well","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","5-6"
"4507","Rural","No","Rain water","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4508","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4509","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","5-6"
"4510","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"4511","Rural","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"4512","Rural","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"4513","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4514","Rural","Yes","Rain water","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4515","Rural","Yes","River.stream","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"4516","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"4517","Rural","Yes","Well in residence","Less than 15 minutes","No facility bush","Rough wood/bamboo","3-4"
"4518","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"4519","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"4520","Rural","Yes","River.stream","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"4521","Rural","Yes","Public well","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"4522","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","Dont know/missing"
"4523","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"4524","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4525","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4526","Rural","No","Well in residence","Less than 15 minutes","No facility bush","Earth sand","3-4"
"4527","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","Dont know/missing"
"4528","Rural","Yes","Well in residence","More than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4529","Rural","Yes","Well in residence","More than 15 minutes","No facility bush","Earth sand","1-2"
"4530","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4531","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"4532","Rural","No","Rain water","Less than 15 minutes","Traditional pit toilet","Earth sand","7+"
"4533","Rural","No","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"4534","Rural","Yes","Well in residence","More than 15 minutes","Own flush toilet","Earth sand","3-4"
"4535","Rural","Yes","Spring","Less than 15 minutes","No facility bush","Earth sand","1-2"
"4536","Rural","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"4537","Rural","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Rough wood/bamboo","1-2"
"4538","Rural","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
